country,date,daily_vaccinations,vaccines
Canada,12/16/2020,1693,"Moderna, Pfizer/BioNTech"
Canada,12/17/2020,2301,"Moderna, Pfizer/BioNTech"
Canada,12/18/2020,2580,"Moderna, Pfizer/BioNTech"
Canada,12/19/2020,2319,"Moderna, Pfizer/BioNTech"
Canada,12/20/2020,2366,"Moderna, Pfizer/BioNTech"
Canada,12/21/2020,2938,"Moderna, Pfizer/BioNTech"
Canada,12/22/2020,3589,"Moderna, Pfizer/BioNTech"
Canada,12/23/2020,4487,"Moderna, Pfizer/BioNTech"
Canada,12/24/2020,5457,"Moderna, Pfizer/BioNTech"
Canada,12/25/2020,5012,"Moderna, Pfizer/BioNTech"
Canada,12/26/2020,5261,"Moderna, Pfizer/BioNTech"
Canada,12/27/2020,5398,"Moderna, Pfizer/BioNTech"
Canada,12/28/2020,5512,"Moderna, Pfizer/BioNTech"
Canada,12/29/2020,6352,"Moderna, Pfizer/BioNTech"
Canada,12/30/2020,6342,"Moderna, Pfizer/BioNTech"
Canada,12/31/2020,7205,"Moderna, Pfizer/BioNTech"
Canada,1/1/2021,8378,"Moderna, Pfizer/BioNTech"
Canada,1/2/2021,9101,"Moderna, Pfizer/BioNTech"
Canada,1/3/2021,9350,"Moderna, Pfizer/BioNTech"
Canada,1/4/2021,11044,"Moderna, Pfizer/BioNTech"
Canada,1/5/2021,12111,"Moderna, Pfizer/BioNTech"
Canada,1/6/2021,14887,"Moderna, Pfizer/BioNTech"
Canada,1/7/2021,17662,"Moderna, Pfizer/BioNTech"
Canada,1/8/2021,22412,"Moderna, Pfizer/BioNTech"
Canada,1/9/2021,26418,"Moderna, Pfizer/BioNTech"
Canada,1/10/2021,29046,"Moderna, Pfizer/BioNTech"
Canada,1/11/2021,31914,"Moderna, Pfizer/BioNTech"
Canada,1/12/2021,33281,"Moderna, Pfizer/BioNTech"
Canada,1/13/2021,33646,"Moderna, Pfizer/BioNTech"
Canada,1/14/2021,34290,"Moderna, Pfizer/BioNTech"
Canada,1/15/2021,35208,"Moderna, Pfizer/BioNTech"
Canada,1/16/2021,35134,"Moderna, Pfizer/BioNTech"
Canada,1/17/2021,35670,"Moderna, Pfizer/BioNTech"
Canada,1/18/2021,36358,"Moderna, Pfizer/BioNTech"
Canada,1/19/2021,37521,"Moderna, Pfizer/BioNTech"
Canada,1/20/2021,39576,"Moderna, Pfizer/BioNTech"
Canada,1/21/2021,39910,"Moderna, Pfizer/BioNTech"
Canada,1/22/2021,38417,"Moderna, Pfizer/BioNTech"
Canada,1/23/2021,36850,"Moderna, Pfizer/BioNTech"
Canada,1/24/2021,35101,"Moderna, Pfizer/BioNTech"
Canada,1/25/2021,32183,"Moderna, Pfizer/BioNTech"
Chile,12/24/2020,,Pfizer/BioNTech
Chile,12/25/2020,4771,Pfizer/BioNTech
Chile,12/26/2020,3958,Pfizer/BioNTech
Chile,12/27/2020,2742,Pfizer/BioNTech
Chile,12/28/2020,2069,Pfizer/BioNTech
Chile,12/29/2020,1665,Pfizer/BioNTech
Chile,12/30/2020,1396,Pfizer/BioNTech
Chile,12/31/2020,1204,Pfizer/BioNTech
Chile,1/1/2021,530,Pfizer/BioNTech
Chile,1/2/2021,88,Pfizer/BioNTech
Chile,1/3/2021,51,Pfizer/BioNTech
Chile,1/4/2021,51,Pfizer/BioNTech
Chile,1/5/2021,250,Pfizer/BioNTech
Chile,1/6/2021,272,Pfizer/BioNTech
Chile,1/7/2021,344,Pfizer/BioNTech
Chile,1/8/2021,417,Pfizer/BioNTech
Chile,1/9/2021,489,Pfizer/BioNTech
Chile,1/10/2021,562,Pfizer/BioNTech
Chile,1/11/2021,635,Pfizer/BioNTech
Chile,1/12/2021,508,Pfizer/BioNTech
Chile,1/13/2021,559,Pfizer/BioNTech
Chile,1/14/2021,1038,Pfizer/BioNTech
Chile,1/15/2021,1437,Pfizer/BioNTech
Chile,1/16/2021,1366,Pfizer/BioNTech
Chile,1/17/2021,1291,Pfizer/BioNTech
Chile,1/18/2021,2699,Pfizer/BioNTech
Chile,1/19/2021,5267,Pfizer/BioNTech
Chile,1/20/2021,5632,Pfizer/BioNTech
Chile,1/21/2021,6328,Pfizer/BioNTech
Chile,1/22/2021,5882,Pfizer/BioNTech
Chile,1/23/2021,6000,Pfizer/BioNTech
Chile,1/24/2021,6020,Pfizer/BioNTech
Chile,1/25/2021,4557,Pfizer/BioNTech
China,12/15/2020,,"CNBG, Sinovac"
China,12/16/2020,187500,"CNBG, Sinovac"
China,12/17/2020,187500,"CNBG, Sinovac"
China,12/18/2020,187500,"CNBG, Sinovac"
China,12/19/2020,187500,"CNBG, Sinovac"
China,12/20/2020,187500,"CNBG, Sinovac"
China,12/21/2020,187500,"CNBG, Sinovac"
China,12/22/2020,187500,"CNBG, Sinovac"
China,12/23/2020,187500,"CNBG, Sinovac"
China,12/24/2020,187500,"CNBG, Sinovac"
China,12/25/2020,187500,"CNBG, Sinovac"
China,12/26/2020,187500,"CNBG, Sinovac"
China,12/27/2020,187500,"CNBG, Sinovac"
China,12/28/2020,187500,"CNBG, Sinovac"
China,12/29/2020,187500,"CNBG, Sinovac"
China,12/30/2020,187500,"CNBG, Sinovac"
China,12/31/2020,187500,"CNBG, Sinovac"
China,1/1/2021,232143,"CNBG, Sinovac"
China,1/2/2021,276786,"CNBG, Sinovac"
China,1/3/2021,321429,"CNBG, Sinovac"
China,1/4/2021,366071,"CNBG, Sinovac"
China,1/5/2021,410714,"CNBG, Sinovac"
China,1/6/2021,455357,"CNBG, Sinovac"
China,1/7/2021,500000,"CNBG, Sinovac"
China,1/8/2021,500000,"CNBG, Sinovac"
China,1/9/2021,500000,"CNBG, Sinovac"
China,1/10/2021,464286,"CNBG, Sinovac"
China,1/11/2021,428571,"CNBG, Sinovac"
China,1/12/2021,392857,"CNBG, Sinovac"
China,1/13/2021,357143,"CNBG, Sinovac"
China,1/14/2021,387755,"CNBG, Sinovac"
China,1/15/2021,418367,"CNBG, Sinovac"
China,1/16/2021,448980,"CNBG, Sinovac"
China,1/17/2021,515306,"CNBG, Sinovac"
China,1/18/2021,581633,"CNBG, Sinovac"
China,1/19/2021,647959,"CNBG, Sinovac"
China,1/20/2021,714286,"CNBG, Sinovac"
Costa Rica,12/24/2020,,Pfizer/BioNTech
Costa Rica,12/25/2020,240,Pfizer/BioNTech
Costa Rica,12/26/2020,240,Pfizer/BioNTech
Costa Rica,12/27/2020,240,Pfizer/BioNTech
Costa Rica,12/28/2020,240,Pfizer/BioNTech
Costa Rica,12/29/2020,240,Pfizer/BioNTech
Costa Rica,12/30/2020,240,Pfizer/BioNTech
Costa Rica,12/31/2020,240,Pfizer/BioNTech
Costa Rica,1/1/2021,240,Pfizer/BioNTech
Costa Rica,1/2/2021,240,Pfizer/BioNTech
Costa Rica,1/3/2021,240,Pfizer/BioNTech
Costa Rica,1/4/2021,414,Pfizer/BioNTech
Costa Rica,1/5/2021,588,Pfizer/BioNTech
Costa Rica,1/6/2021,763,Pfizer/BioNTech
Costa Rica,1/7/2021,937,Pfizer/BioNTech
Costa Rica,1/8/2021,1111,Pfizer/BioNTech
Costa Rica,1/9/2021,1385,Pfizer/BioNTech
Costa Rica,1/10/2021,1659,Pfizer/BioNTech
Costa Rica,1/11/2021,1759,Pfizer/BioNTech
Costa Rica,1/12/2021,1859,Pfizer/BioNTech
Costa Rica,1/13/2021,1959,Pfizer/BioNTech
Costa Rica,1/14/2021,2058,Pfizer/BioNTech
Costa Rica,1/15/2021,2158,Pfizer/BioNTech
Costa Rica,1/16/2021,2066,Pfizer/BioNTech
Costa Rica,1/17/2021,1973,Pfizer/BioNTech
Costa Rica,1/18/2021,1880,Pfizer/BioNTech
Croatia,12/30/2020,,Pfizer/BioNTech
Croatia,12/31/2020,1105,Pfizer/BioNTech
Croatia,1/1/2021,1105,Pfizer/BioNTech
Croatia,1/2/2021,1105,Pfizer/BioNTech
Croatia,1/3/2021,1105,Pfizer/BioNTech
Croatia,1/4/2021,1036,Pfizer/BioNTech
Croatia,1/5/2021,989,Pfizer/BioNTech
Croatia,1/6/2021,1334,Pfizer/BioNTech
Croatia,1/7/2021,1662,Pfizer/BioNTech
Croatia,1/8/2021,2130,Pfizer/BioNTech
Croatia,1/9/2021,2689,Pfizer/BioNTech
Croatia,1/10/2021,2693,Pfizer/BioNTech
Croatia,1/11/2021,2748,Pfizer/BioNTech
Croatia,1/12/2021,2802,Pfizer/BioNTech
Croatia,1/13/2021,2479,Pfizer/BioNTech
Croatia,1/14/2021,2485,Pfizer/BioNTech
Croatia,1/15/2021,2364,Pfizer/BioNTech
Croatia,1/16/2021,2272,Pfizer/BioNTech
Croatia,1/17/2021,2510,Pfizer/BioNTech
Croatia,1/18/2021,2747,Pfizer/BioNTech
Croatia,1/19/2021,2984,Pfizer/BioNTech
Croatia,1/20/2021,3329,Pfizer/BioNTech
Croatia,1/21/2021,3343,Pfizer/BioNTech
Croatia,1/22/2021,3346,Pfizer/BioNTech
Croatia,1/23/2021,2960,Pfizer/BioNTech
Croatia,1/24/2021,2800,Pfizer/BioNTech
Croatia,1/25/2021,2640,Pfizer/BioNTech
Cyprus,1/6/2021,,Pfizer/BioNTech
Cyprus,1/7/2021,534,Pfizer/BioNTech
Cyprus,1/8/2021,534,Pfizer/BioNTech
Cyprus,1/9/2021,534,Pfizer/BioNTech
Cyprus,1/10/2021,534,Pfizer/BioNTech
Cyprus,1/11/2021,594,Pfizer/BioNTech
Cyprus,1/12/2021,635,Pfizer/BioNTech
Cyprus,1/13/2021,664,Pfizer/BioNTech
Cyprus,1/14/2021,708,Pfizer/BioNTech
Cyprus,1/15/2021,751,Pfizer/BioNTech
Cyprus,1/16/2021,821,Pfizer/BioNTech
Cyprus,1/17/2021,891,Pfizer/BioNTech
Cyprus,1/18/2021,917,Pfizer/BioNTech
Cyprus,1/19/2021,943,Pfizer/BioNTech
Cyprus,1/20/2021,969,Pfizer/BioNTech
Cyprus,1/21/2021,996,Pfizer/BioNTech
Cyprus,1/22/2021,1022,Pfizer/BioNTech
Czechia,12/27/2020,,"Moderna, Pfizer/BioNTech"
Czechia,12/28/2020,2229,"Moderna, Pfizer/BioNTech"
Czechia,12/29/2020,2798,"Moderna, Pfizer/BioNTech"
Czechia,12/30/2020,3010,"Moderna, Pfizer/BioNTech"
Czechia,12/31/2020,2583,"Moderna, Pfizer/BioNTech"
Czechia,1/1/2021,2119,"Moderna, Pfizer/BioNTech"
Czechia,1/2/2021,1974,"Moderna, Pfizer/BioNTech"
Czechia,1/3/2021,1822,"Moderna, Pfizer/BioNTech"
Czechia,1/4/2021,1994,"Moderna, Pfizer/BioNTech"
Czechia,1/5/2021,2128,"Moderna, Pfizer/BioNTech"
Czechia,1/6/2021,2439,"Moderna, Pfizer/BioNTech"
Czechia,1/7/2021,3361,"Moderna, Pfizer/BioNTech"
Czechia,1/8/2021,4730,"Moderna, Pfizer/BioNTech"
Czechia,1/9/2021,4832,"Moderna, Pfizer/BioNTech"
Czechia,1/10/2021,4944,"Moderna, Pfizer/BioNTech"
Czechia,1/11/2021,5812,"Moderna, Pfizer/BioNTech"
Czechia,1/12/2021,7042,"Moderna, Pfizer/BioNTech"
Czechia,1/13/2021,8132,"Moderna, Pfizer/BioNTech"
Czechia,1/14/2021,9103,"Moderna, Pfizer/BioNTech"
Czechia,1/15/2021,9588,"Moderna, Pfizer/BioNTech"
Czechia,1/16/2021,9771,"Moderna, Pfizer/BioNTech"
Czechia,1/17/2021,9963,"Moderna, Pfizer/BioNTech"
Czechia,1/18/2021,10515,"Moderna, Pfizer/BioNTech"
Czechia,1/19/2021,10743,"Moderna, Pfizer/BioNTech"
Czechia,1/20/2021,10919,"Moderna, Pfizer/BioNTech"
Czechia,1/21/2021,11087,"Moderna, Pfizer/BioNTech"
Czechia,1/22/2021,11174,"Moderna, Pfizer/BioNTech"
Czechia,1/23/2021,11220,"Moderna, Pfizer/BioNTech"
Czechia,1/24/2021,11136,"Moderna, Pfizer/BioNTech"
Czechia,1/25/2021,9226,"Moderna, Pfizer/BioNTech"
Denmark,12/27/2020,,"Moderna, Pfizer/BioNTech"
Denmark,12/28/2020,1994,"Moderna, Pfizer/BioNTech"
Denmark,12/29/2020,5527,"Moderna, Pfizer/BioNTech"
Denmark,12/30/2020,7525,"Moderna, Pfizer/BioNTech"
Denmark,12/31/2020,7223,"Moderna, Pfizer/BioNTech"
Denmark,1/1/2021,6254,"Moderna, Pfizer/BioNTech"
Denmark,1/2/2021,6712,"Moderna, Pfizer/BioNTech"
Denmark,1/3/2021,6616,"Moderna, Pfizer/BioNTech"
Denmark,1/4/2021,6679,"Moderna, Pfizer/BioNTech"
Denmark,1/5/2021,7319,"Moderna, Pfizer/BioNTech"
Denmark,1/6/2021,8525,"Moderna, Pfizer/BioNTech"
Denmark,1/7/2021,10138,"Moderna, Pfizer/BioNTech"
Denmark,1/8/2021,11022,"Moderna, Pfizer/BioNTech"
Denmark,1/9/2021,10008,"Moderna, Pfizer/BioNTech"
Denmark,1/10/2021,9261,"Moderna, Pfizer/BioNTech"
Denmark,1/11/2021,9008,"Moderna, Pfizer/BioNTech"
Denmark,1/12/2021,7139,"Moderna, Pfizer/BioNTech"
Denmark,1/13/2021,6098,"Moderna, Pfizer/BioNTech"
Denmark,1/14/2021,6122,"Moderna, Pfizer/BioNTech"
Denmark,1/15/2021,7052,"Moderna, Pfizer/BioNTech"
Denmark,1/16/2021,7451,"Moderna, Pfizer/BioNTech"
Denmark,1/17/2021,7800,"Moderna, Pfizer/BioNTech"
Denmark,1/18/2021,8567,"Moderna, Pfizer/BioNTech"
Denmark,1/19/2021,9160,"Moderna, Pfizer/BioNTech"
Denmark,1/20/2021,7840,"Moderna, Pfizer/BioNTech"
Denmark,1/21/2021,5852,"Moderna, Pfizer/BioNTech"
Denmark,1/22/2021,4568,"Moderna, Pfizer/BioNTech"
Denmark,1/23/2021,4948,"Moderna, Pfizer/BioNTech"
Denmark,1/24/2021,5299,"Moderna, Pfizer/BioNTech"
Denmark,1/25/2021,4439,"Moderna, Pfizer/BioNTech"
Ecuador,1/21/2021,,Pfizer/BioNTech
Ecuador,1/22/2021,108,Pfizer/BioNTech
England,12/20/2020,,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/21/2020,37625,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/22/2020,37625,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/23/2020,37625,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/24/2020,37625,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/25/2020,37625,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/26/2020,37625,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/27/2020,37625,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/28/2020,39253,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/29/2020,40882,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/30/2020,42511,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,12/31/2020,44139,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/1/2021,45768,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/2/2021,47396,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/3/2021,49025,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/4/2021,65678,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/5/2021,82331,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/6/2021,98984,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/7/2021,115637,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/8/2021,132290,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/9/2021,148943,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/10/2021,165596,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/11/2021,162002,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/12/2021,165152,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/13/2021,176950,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/14/2021,193243,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/15/2021,215973,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/16/2021,231918,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/17/2021,230525,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/18/2021,234877,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/19/2021,251122,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/20/2021,261507,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/21/2021,272972,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/22/2021,287384,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/23/2021,311226,"Oxford/AstraZeneca, Pfizer/BioNTech"
England,1/24/2021,317419,"Oxford/AstraZeneca, Pfizer/BioNTech"
Estonia,12/28/2020,,Pfizer/BioNTech
Estonia,12/29/2020,309,Pfizer/BioNTech
Estonia,12/30/2020,338,Pfizer/BioNTech
Estonia,12/31/2020,567,Pfizer/BioNTech
Estonia,1/1/2021,570,Pfizer/BioNTech
Estonia,1/2/2021,459,Pfizer/BioNTech
Estonia,1/3/2021,385,Pfizer/BioNTech
Estonia,1/4/2021,333,Pfizer/BioNTech
Estonia,1/5/2021,382,Pfizer/BioNTech
Estonia,1/6/2021,589,Pfizer/BioNTech
Estonia,1/7/2021,675,Pfizer/BioNTech
Estonia,1/8/2021,784,Pfizer/BioNTech
Estonia,1/9/2021,1099,Pfizer/BioNTech
Estonia,1/10/2021,1176,Pfizer/BioNTech
Estonia,1/11/2021,1205,Pfizer/BioNTech
Estonia,1/12/2021,1244,Pfizer/BioNTech
Estonia,1/13/2021,1210,Pfizer/BioNTech
Estonia,1/14/2021,1178,Pfizer/BioNTech
Estonia,1/15/2021,1243,Pfizer/BioNTech
Estonia,1/16/2021,1109,Pfizer/BioNTech
Estonia,1/17/2021,1061,Pfizer/BioNTech
Estonia,1/18/2021,1043,Pfizer/BioNTech
Estonia,1/19/2021,1060,Pfizer/BioNTech
Estonia,1/20/2021,1000,Pfizer/BioNTech
Estonia,1/21/2021,1015,Pfizer/BioNTech
Estonia,1/22/2021,1074,Pfizer/BioNTech
Estonia,1/23/2021,1106,Pfizer/BioNTech
Estonia,1/24/2021,1112,Pfizer/BioNTech
Estonia,1/25/2021,1122,Pfizer/BioNTech
Finland,12/31/2020,,Pfizer/BioNTech
Finland,1/1/2021,459,Pfizer/BioNTech
Finland,1/2/2021,459,Pfizer/BioNTech
Finland,1/3/2021,459,Pfizer/BioNTech
Finland,1/4/2021,459,Pfizer/BioNTech
Finland,1/5/2021,736,Pfizer/BioNTech
Finland,1/6/2021,839,Pfizer/BioNTech
Finland,1/7/2021,913,Pfizer/BioNTech
Finland,1/8/2021,1273,Pfizer/BioNTech
Finland,1/9/2021,1353,Pfizer/BioNTech
Finland,1/10/2021,1433,Pfizer/BioNTech
Finland,1/11/2021,1513,Pfizer/BioNTech
Finland,1/12/2021,1739,Pfizer/BioNTech
Finland,1/13/2021,2332,Pfizer/BioNTech
Finland,1/14/2021,3554,Pfizer/BioNTech
Finland,1/15/2021,4573,Pfizer/BioNTech
Finland,1/16/2021,4971,Pfizer/BioNTech
Finland,1/17/2021,5369,Pfizer/BioNTech
Finland,1/18/2021,5767,Pfizer/BioNTech
